user_id,item_id,term,length_of_stay_bucket,rate_plan,room_segment,n_people_bucket,weekend_stay
1,0,WinterVacation,[2-3],Standard,[260-360],[5-inf],TRUE
2,1,WinterVacation,[2-3],Standard,[160-260],[3-4],TRUE
3,2,WinterVacation,[2-3],Standard,[160-260],[2-2],FALSE
4,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
5,4,WinterVacation,[4-7],Standard,[0-160],[2-2],TRUE
6,5,Easter,[4-7],Standard,[260-360],[5-inf],TRUE
7,6,OffSeason,[2-3],Standard,[260-360],[5-inf],TRUE
8,7,HighSeason,[2-3],Standard,[160-260],[1-1],TRUE
9,8,HighSeason,[2-3],Standard,[0-160],[1-1],TRUE
8,7,HighSeason,[2-3],Standard,[160-260],[1-1],TRUE
8,7,HighSeason,[2-3],Standard,[160-260],[1-1],TRUE
10,9,HighSeason,[2-3],Standard,[160-260],[3-4],TRUE
11,10,HighSeason,[2-3],Standard,[260-360],[3-4],TRUE
12,11,HighSeason,[8-inf],Standard,[160-260],[3-4],TRUE
14,12,HighSeason,[2-3],Standard,[0-160],[3-4],TRUE
15,13,LowSeason,[2-3],Standard,[160-260],[5-inf],TRUE
16,14,LowSeason,[4-7],Standard,[160-260],[3-4],TRUE
17,15,LowSeason,[4-7],Standard,[0-160],[3-4],TRUE
18,16,LowSeason,[8-inf],Standard,[160-260],[3-4],TRUE
19,17,OffSeason,[4-7],Standard,[160-260],[3-4],TRUE
20,18,OffSeason,[8-inf],Standard,[260-360],[5-inf],TRUE
21,19,OffSeason,[4-7],Standard,[260-360],[5-inf],TRUE
13,20,OffSeason,[4-7],Standard,[160-260],[1-1],TRUE
23,21,OffSeason,[2-3],Standard,[160-260],[1-1],TRUE
13,22,OffSeason,[8-inf],Standard,[160-260],[1-1],TRUE
13,23,OffSeason,[2-3],Standard,[160-260],[1-1],FALSE
25,24,MayLongWeekend,[4-7],Standard,[160-260],[3-4],TRUE
26,25,MayLongWeekend,[2-3],Standard,[260-360],[1-1],TRUE
27,26,OffSeason,[2-3],Standard,[160-260],[5-inf],FALSE
28,27,OffSeason,[2-3],Standard,[160-260],[2-2],FALSE
29,27,OffSeason,[2-3],Standard,[160-260],[2-2],FALSE
30,28,OffSeason,[2-3],Standard,[0-160],[2-2],TRUE
31,29,OffSeason,[2-3],Standard,[160-260],[3-4],TRUE
32,29,OffSeason,[2-3],Standard,[160-260],[3-4],TRUE
13,21,OffSeason,[2-3],Standard,[160-260],[1-1],TRUE
33,30,OffSeason,[4-7],Standard,[160-260],[2-2],TRUE
34,30,OffSeason,[4-7],Standard,[160-260],[2-2],TRUE
35,31,OffSeason,[2-3],Standard,[260-360],[3-4],TRUE
36,32,OffSeason,[4-7],Standard,[160-260],[2-2],FALSE
37,30,OffSeason,[4-7],Standard,[160-260],[2-2],TRUE
38,33,Easter,[2-3],Standard,[160-260],[3-4],TRUE
39,34,Easter,[4-7],Standard,[0-160],[3-4],TRUE
40,35,Easter,[4-7],Standard,[260-360],[3-4],TRUE
41,36,OffSeason,[4-7],Standard,[160-260],[3-4],FALSE
42,36,OffSeason,[4-7],Standard,[160-260],[3-4],FALSE
43,32,OffSeason,[4-7],Standard,[160-260],[2-2],FALSE
44,27,OffSeason,[2-3],Standard,[160-260],[2-2],FALSE
45,37,OffSeason,[4-7],Standard,[260-360],[3-4],FALSE
46,38,OffSeason,[8-inf],Standard,[260-360],[2-2],TRUE
47,30,OffSeason,[4-7],Standard,[160-260],[2-2],TRUE
48,39,OffSeason,[0-1],Standard,[160-260],[3-4],TRUE
49,40,OffSeason,[0-1],Standard,[160-260],[1-1],TRUE
50,41,OffSeason,[2-3],Standard,[160-260],[5-inf],TRUE
51,42,OffSeason,[2-3],Standard,[160-260],[2-2],TRUE
52,6,OffSeason,[2-3],Standard,[260-360],[5-inf],TRUE
53,42,OffSeason,[2-3],Standard,[160-260],[2-2],TRUE
54,42,OffSeason,[2-3],Standard,[160-260],[2-2],TRUE
50,6,OffSeason,[2-3],Standard,[260-360],[5-inf],TRUE
55,29,OffSeason,[2-3],Standard,[160-260],[3-4],TRUE
56,43,OffSeason,[2-3],Standard,[260-360],[2-2],TRUE
57,42,OffSeason,[2-3],Standard,[160-260],[2-2],TRUE
58,6,OffSeason,[2-3],Standard,[260-360],[5-inf],TRUE
59,29,OffSeason,[2-3],Standard,[160-260],[3-4],TRUE
60,30,OffSeason,[4-7],Standard,[160-260],[2-2],TRUE
61,27,OffSeason,[2-3],Standard,[160-260],[2-2],FALSE
62,17,OffSeason,[4-7],Standard,[160-260],[3-4],TRUE
63,44,OffSeason,[2-3],Standard,[160-260],[3-4],FALSE
64,45,OffSeason,[2-3],Standard,[260-360],[3-4],FALSE
65,36,OffSeason,[4-7],Standard,[160-260],[3-4],FALSE
66,29,OffSeason,[2-3],Standard,[160-260],[3-4],TRUE
67,29,OffSeason,[2-3],Standard,[160-260],[3-4],TRUE
68,46,OffSeason,[2-3],Standard,[0-160],[3-4],TRUE
69,42,OffSeason,[2-3],Standard,[160-260],[2-2],TRUE
70,6,OffSeason,[2-3],Standard,[260-360],[5-inf],TRUE
71,29,OffSeason,[2-3],Standard,[160-260],[3-4],TRUE
72,29,OffSeason,[2-3],Standard,[160-260],[3-4],TRUE
73,30,OffSeason,[4-7],Standard,[160-260],[2-2],TRUE
74,42,OffSeason,[2-3],Standard,[160-260],[2-2],TRUE
75,17,OffSeason,[4-7],Standard,[160-260],[3-4],TRUE
76,30,OffSeason,[4-7],Standard,[160-260],[2-2],TRUE
77,29,OffSeason,[2-3],Standard,[160-260],[3-4],TRUE
78,30,OffSeason,[4-7],Standard,[160-260],[2-2],TRUE
79,23,OffSeason,[2-3],Standard,[160-260],[1-1],FALSE
80,30,OffSeason,[4-7],Standard,[160-260],[2-2],TRUE
81,47,OffSeason,[4-7],Standard,[160-260],[1-1],FALSE
81,47,OffSeason,[4-7],Standard,[160-260],[1-1],FALSE
81,47,OffSeason,[4-7],Standard,[160-260],[1-1],FALSE
82,30,OffSeason,[4-7],Standard,[160-260],[2-2],TRUE
83,30,OffSeason,[4-7],Standard,[160-260],[2-2],TRUE
84,29,OffSeason,[2-3],Standard,[160-260],[3-4],TRUE
85,29,OffSeason,[2-3],Standard,[160-260],[3-4],TRUE
86,43,OffSeason,[2-3],Standard,[260-360],[2-2],TRUE
86,31,OffSeason,[2-3],Standard,[260-360],[3-4],TRUE
87,42,OffSeason,[2-3],Standard,[160-260],[2-2],TRUE
1,42,OffSeason,[2-3],Standard,[160-260],[2-2],TRUE
1,42,OffSeason,[2-3],Standard,[160-260],[2-2],TRUE
89,42,OffSeason,[2-3],Standard,[160-260],[2-2],TRUE
90,42,OffSeason,[2-3],Standard,[160-260],[2-2],TRUE
91,6,OffSeason,[2-3],Standard,[260-360],[5-inf],TRUE
92,30,OffSeason,[4-7],Standard,[160-260],[2-2],TRUE
93,29,OffSeason,[2-3],Standard,[160-260],[3-4],TRUE
94,42,OffSeason,[2-3],Standard,[160-260],[2-2],TRUE
95,31,OffSeason,[2-3],Standard,[260-360],[3-4],TRUE
96,28,OffSeason,[2-3],Standard,[0-160],[2-2],TRUE
97,17,OffSeason,[4-7],Standard,[160-260],[3-4],TRUE
98,48,OffSeason,[8-inf],Standard,[160-260],[2-2],TRUE
99,49,OffSeason,[4-7],Standard,[260-360],[3-4],TRUE
100,30,OffSeason,[4-7],Standard,[160-260],[2-2],TRUE
101,6,OffSeason,[2-3],Standard,[260-360],[5-inf],TRUE
102,42,OffSeason,[2-3],Standard,[160-260],[2-2],TRUE
103,30,OffSeason,[4-7],Standard,[160-260],[2-2],TRUE
104,29,OffSeason,[2-3],Standard,[160-260],[3-4],TRUE
105,42,OffSeason,[2-3],Standard,[160-260],[2-2],TRUE
106,31,OffSeason,[2-3],Standard,[260-360],[3-4],TRUE
107,29,OffSeason,[2-3],Standard,[160-260],[3-4],TRUE
108,31,OffSeason,[2-3],Standard,[260-360],[3-4],TRUE
109,21,OffSeason,[2-3],Standard,[160-260],[1-1],TRUE
110,6,OffSeason,[2-3],Standard,[260-360],[5-inf],TRUE
110,41,OffSeason,[2-3],Standard,[160-260],[5-inf],TRUE
110,41,OffSeason,[2-3],Standard,[160-260],[5-inf],TRUE
111,20,OffSeason,[4-7],Standard,[160-260],[1-1],TRUE
112,50,OffSeason,[2-3],Standard,[260-360],[1-1],TRUE
113,2,WinterVacation,[2-3],Standard,[160-260],[2-2],FALSE
114,3,WinterVacation,[4-7],Standard,[160-260],[3-4],TRUE
116,51,WinterVacation,[4-7],Standard,[260-360],[3-4],TRUE
116,52,WinterVacation,[4-7],Standard,[0-160],[1-1],TRUE
116,53,WinterVacation,[4-7],Standard,[160-260],[1-1],TRUE
117,51,WinterVacation,[4-7],Standard,[260-360],[3-4],TRUE
118,54,WinterVacation,[4-7],Standard,[160-260],[5-inf],TRUE
119,55,WinterVacation,[2-3],Standard,[260-360],[2-2],FALSE
120,56,WinterVacation,[2-3],Standard,[0-160],[2-2],FALSE
121,57,WinterVacation,[4-7],Standard,[160-260],[3-4],FALSE
122,58,WinterVacation,[2-3],Standard,[260-360],[5-inf],FALSE
